job_posting_id,category,corporation,deadline,education,employmenttype,keyword,location,title,workexperience
21,ICT,"사단법인 전북신산업융합지원단","~05.28 (수)",대졸,계약직,"멀티미디어(동영상·음향), 광고·CG·시각디자인","전북 익산시","익산시콘텐츠제작지원센터 신규직원 채용공고",경력무관
22,ICT,"주식회사 긱블","~05.31 (토)",학력무관,인턴,게임(Game),"서울 성동구","[긱블 신사업] 모바일게임 기획/디자인 인턴 (6개월, 미래청년일자리)",경력무관
23,ICT,"이디비 주식회사","~06.30 (월)",학력무관,정규직,"전산·IT기술지원, 영업관리·영업지원, 일반·법인영업",대전,"[병, 의원 / EMR 차트 유지보수 및 영업대리점 관리] (신입/경력)",경력무관
24,ICT,한국콘텐츠진흥원,"~05.25 (일)",학력무관,교육생(연수생),"통신·모바일, 방송제작·연출·촬영·기자, 작가·문화·예술·창작, 홍보·PR·전시·컨벤션, 무역사무,","서울 종로구 외","2025 K-콘텐츠 수출 마케터 양성 교육 교육생 모집",경력무관
25,ICT,(주)세정아이앤씨,"23시 마감",학력무관,"정규직 외",웹프로그래머,"부산 금정구 외","[세정아이앤씨] IT개발자 신입(인턴)/경력사원 채용(부산)",신입/경력(3년↓)
26,ICT,"주식회사 한섬","~05.30 (금)",초대졸↑,정규직,빅데이터·AI(인공지능),"서울 강동구","빅데이터, 데이터분석 경력 채용","경력 2년↑"
27,ICT,"SK(주) C&C","~06.29 (일)",학력무관,정규직,"소프트웨어·하드웨어, 전산·IT기술지원","경기 성남시","SWA(Software Architect) 전문가 영입","경력 5년↑"
28,ICT,(재)포항성모병원,상시,초대졸↑,계약직,전산·IT기술지원,"경북 포항시","포항성모병원 전산정보팀 전산개발/운용 사무원 채용",경력무관
29,ICT,(주)케이티나스미디어,"~05.31 (토)",학력무관,정규직,"컨텐츠·사이트운영, 광고·광고기획(AE), 통신·모바일, 홍보·PR·전시·컨벤션, 웹기획·웹마케팅·PM,","서울 강남구","[kt nasmedia] 2025년 5월 kt nasmedia 채용 (채용 시 마감)",신입/경력(10년↓)
30,ICT,"주식회사 안앤락","~06.08 (일)",학력무관,정규직,"전산·IT기술지원, 일반사무·사무지원, 영업관리·영업지원","서울 서초구","케어서비스 운영지원매니저 모집",경력무관
31,ICT,(주)제주항공,채용시,학력무관,정규직,"네트워크·서버·보안, ERP·시스템분석·설계","서울 강서구","2025년 상반기 정보보호 경력사원 상시채용","경력 3년↑"
32,ICT,(주)제이드크로스,"23시 마감",초대졸↑,정규직,"소프트웨어·하드웨어, 영업관리·영업지원, 영업기획","서울 서초구 외","[고객서비스 매니저 / 마케터] 경력사원 채용",경력무관
33,ICT,(주)앤톡,"~05.31 (토)",학력무관,인턴,"웹프로그래머, 빅데이터·AI(인공지능)","서울 중구","IT 개발 · 데이터 인턴 채용",경력무관
34,ICT,(주)크래프톤,채용시,대졸↑,인턴,"ERP·시스템분석·설계, 빅데이터·AI(인공지능)","서울 강남구","[Deep Learning Div.] Deep Learning Engineer, Internship - AI",경력
35,ICT,"주식회사 카카오",채용시,학력무관,계약직,"컨텐츠·사이트운영, 홍보·PR·전시·컨벤션","경기 성남시","카카오프렌즈 SNS 콘텐츠 제작 및 운영관리 어시스턴트",경력무관
36,ICT,(주)인더포레스트,채용시,학력무관,"정규직 외","네트워크·서버·보안, 통신·모바일","서울 강남구","[보안 컨설팅] 수준높은 취약점 진단, 모의해킹(Pen-Test) 컨설턴트 채용 신입/경력",경력무관
37,ICT,"(주) 바이오노트","~05.25 (일)",학력무관,"정규직 외","컨텐츠·사이트운영, 바이오·식품공학","경기 화성시","[신입] 각 부문별 R&D본부 연구원 보조 계약직/정규직",신입
38,ICT,"HDC현대산업개발 주식회사","~06.08 (일)",학력무관,정규직,"ERP·시스템분석·설계, 건축·인테리어·설계","서울 용산구","HDC현대산업개발 설계(주택/일반/색채) 분야 경력직 채용","경력 10년↑"
39,ICT,현대오토에버(주),"~05.28 (수)",학력무관,정규직,네트워크·서버·보안,"서울 강남구","[Tech] Server Engineer - 금융 서버/인프라 구축/운영","경력 2년↑"
40,ICT,현대오토에버(주),"~05.28 (수)",학력무관,정규직,"ERP·시스템분석·설계, 통신·모바일, 네트워크·서버·보안","울산 북구","[SDx] Service Engineer - 스마트태그 시스템 개발/운영 (울산 양정)","경력 3년↑"
41,ICT,"주식회사 예진","~05.26 (월)",학력무관,정규직,"웹프로그래머, 응용프로그래머","서울 송파구","프론트엔드 개발자","경력 3년↑"
42,ICT,에스케이케미칼,"~05.29 (목)",대졸↑,정규직,"전산·IT기술지원, 전기·전자·통신기능, 생산·조립·가공·포장·검품","울산 남구","[SK케미칼] 25년 신입구성원 모집 (울산공장)",신입
43,ICT,롯데케미칼(주),"~06.15 (일)",학력무관,정규직,"웹디자인, 일반사무·사무지원, IT·문화·직업강사","재택근무 가능","2025년 상반기 롯데케미칼 장애인 재택근무자(사무보조, 웹디자이너) 채용",경력무관
44,ICT,(주)유진테크,"~05.30 (금)",대졸↑,정규직,"소프트웨어·하드웨어, 응용프로그래머","경기 이천시 외","[SW개발] (주)유진테크 SW개발 경력사원 채용",경력
45,ICT,대보정보통신(주),"~06.01 (일)",학력무관,정규직,"소프트웨어·하드웨어, 응용프로그래머","서울 강남구","영상처리S/W 경력직 채용","경력 2년↑"
46,ICT,(주)스마일게이트홀딩스,"~05.30 (금)",학력무관,정규직,"ERP·시스템분석·설계, 네트워크·서버·보안","경기 성남시","[IT/인프라] 사내 인프라 및 시스템 운영 담당","경력 8년↑"
47,ICT,현대오토에버(주),"~05.28 (수)",학력무관,정규직,"ERP·시스템분석·설계, 네트워크·서버·보안, 전산·IT기술지원","서울 강남구","[Tech] Security Engineer - 신규 IT시스템 보안성검토 및 운영시스템 보안관리","경력 3년↑"
48,ICT,라인플러스,채용시,학력무관,정규직,"응용프로그래머, 빅데이터·AI(인공지능), 광고·광고기획(AE)","경기 성남시","LINE Ads - MLOps Engineer","경력 3년↑"
49,ICT,(주)케이티서비스남부,상시,학력무관,계약직,"소프트웨어·하드웨어, 시설·환경·안전·플랜트, 운송·물류","대전 외","[kt service남부] 25년 경력/신입사원 상시채용",경력무관
50,ICT,"주식회사 카카오",채용시,학력무관,계약직,"컨텐츠·사이트운영, 조사·분석·통계","경기 성남시","SNS/온라인 및 언론 모니터링, 콘텐츠 기획 어시스턴트",경력무관
51,ICT,(주)이노션,"~06.01 (일)",대졸↑,인턴,"통신·모바일, 일반사무·사무지원","서울 강남구","플랫폼 기획 / 운영 지원",신입
52,ICT,씨제이올리브영(주),채용시,학력무관,정규직,"빅데이터·AI(인공지능), 광고·CG·시각디자인","서울 용산구","[CJ올리브영] 커머스 디자이너","경력 5년↑"
53,ICT,"주식회사 애드리절트","~06.19 (목)",학력무관,정규직,"멀티미디어(동영상·음향), 방송제작·연출·촬영·기자","서울 강남구","애드리절트 본사 영상팀 채용공고",신입/경력(1~5년)
54,ICT,컴투스,"~05.26 (월)",학력무관,인턴,"게임(Game), 마케팅, 웹디자인, 광고·CG·시각디자인, 재무·자금·IR,","서울 금천구","2025 채용연계형 인턴십 GENIUS 7기",경력무관
55,ICT,고등기술연구원연구조합,"~06.03 (화)",초대졸↑,"정규직 외","ERP·시스템분석·설계, 시설·환경·안전·플랜트, 연구원·연구개발, 기계·금속·재료, 빅데이터·AI(인공지능),","경기 용인시","연구개발인력 모집공고",경력무관
56,ICT,한화오션(주),"~06.09 (월)",대졸↑,정규직,"전산·IT기술지원, IT·문화·직업강사, 일반사무·사무지원","경남 거제시","[경영지원] IT직군 경력사원 채용","경력 5년↑"
57,ICT,(주)케이티서비스남부,상시,학력무관,계약직,"소프트웨어·하드웨어, 운송·물류, 시설·환경·안전·플랜트","대전 외","[kt service남부] 25년 경력/신입사원 장애인/보훈 제한경쟁 상시채용",경력무관
58,ICT,(주)소프트웨어품질공학센터,채용시,학력무관,"정규직 외","네트워크·서버·보안, 일반사무·사무지원, 경영·기획·전략","대전 유성구","경영지원부(정보처리기사), 정보시스템 수석감리원 모집",신입/경력(1년↑)
59,ICT,크림,채용시,학력무관,정규직,"통신·모바일, 웹프로그래머, 일반사무·사무지원","경기 성남시","[KREAM] Service Backend 개발자 모집",경력
60,ICT,(주)크래프톤,채용시,대졸↑,인턴,"ERP·시스템분석·설계, 빅데이터·AI(인공지능), 일반사무·사무지원","서울 강남구","[Deep Learning Div.] Deep Learning Engineer, Internship",경력무관
61,ICT,"엔아이티서비스 주식회사",채용시,학력무관,정규직,"네트워크·서버·보안, 전산·IT기술지원, IT·문화·직업강사","경기 성남시","[NAVER Cloud 자회사] NAVER/CLOUD 보안관제",경력무관
62,ICT,(주)자이언트스텝,채용시,학력무관,계약직,"웹기획·웹마케팅·PM, 작가·문화·예술·창작, 방송제작·연출·촬영·기자","서울 강남구","[자이언트스텝] 영상제작 1본부 PD 2팀 채용 (경력무관)",경력무관
63,ICT,비에스엔씨(주),"~05.31 (토)",학력무관,정규직,응용프로그래머,서울,"개발자모집(C# SQL)",신입/경력(2년↑)
64,ICT,"주식회사 카카오",채용시,학력무관,계약직,"컨텐츠·사이트운영, 홍보·PR·전시·컨벤션","경기 성남시","카카오프렌즈/니니즈 SNS 콘텐츠 제작 및 운영관리 어시스턴트",경력
65,ICT,에스케이케미칼,"~05.28 (수)",대졸↑,정규직,"전산·IT기술지원, IT·문화·직업강사, 일반사무·사무지원","울산 남구","[SK케미칼] 울산공장 IT 운영/고도화 담당 경력 구성원 모집",경력
66,ICT,씨제이올리브네트웍스(주),"~06.15 (일)",학력무관,정규직,"웹기획·웹마케팅·PM, ERP·시스템분석·설계, 전산·IT기술지원","서울 외","[경력] SI 프로젝트 수행 PM/PMO/PL",경력
67,ICT,"(주) 이아이비컨설팅",상시,대졸↑,"계약직 외","응용프로그래머, 세무·회계",서울,"SAP ERP Consultant 모십니다.","경력 5년↑"
68,ICT,현대오토에버(주),"~05.28 (수)",학력무관,정규직,"빅데이터·AI(인공지능), 응용프로그래머, 웹프로그래머","서울 강남구","[SDx] Backend Developer - 비전 AI 모델 개발","경력 3년↑"
69,ICT,현대오토에버(주),"~05.28 (수)",학력무관,정규직,"ERP·시스템분석·설계, 네트워크·서버·보안, 기술영업","서울 강남구","[SDx] Solution Developer - 머신비전 시스템 개발","경력 3년↑"
70,ICT,현대오토에버(주),"~05.28 (수)",학력무관,정규직,"빅데이터·AI(인공지능), 응용프로그래머, 데이터베이스·DBA","서울 강남구","[Tech] Machine Learning Engineer - AI 데이터 사이언티스트","경력 3년↑"
71,ICT,넷마블컴퍼니(주),채용시,대졸↑,정규직,"웹프로그래머, 웹기획·웹마케팅·PM","서울 구로구","웹 프론트엔드 개발자 모집","경력 3년↑"
72,ICT,(주)신세계디에프,"~05.31 (토)",대졸,정규직,"데이터베이스·DBA, 빅데이터·AI(인공지능)","서울 중구","[신세계디에프(면세점)] 데이터분석 경력직 채용","경력 2~7년"
73,ICT,씨제이올리브네트웍스(주),"~06.15 (일)",학력무관,정규직,"응용프로그래머, 세무·회계, 전산·IT기술지원","서울 마포구","[경력] 대내외 고객사 SAP FI","경력 6년↑"
74,ICT,(주)엘지씨엔에스,"~05.31 (토)",학력무관,정규직,"빅데이터·AI(인공지능), 응용프로그래머, ERP·시스템분석·설계, 데이터베이스·DBA, 웹기획·웹마케팅·PM,","서울 강서구","[LG CNS] AX 전 분야 전문가 모집 (AI, Data, PM/PL, 분석/설계, Infra)",경력
75,ICT,알서포트(주),"~05.26 (월)",학력무관,정규직,"통신·모바일, ERP·시스템분석·설계, 웹기획·웹마케팅·PM","서울 강동구","서비스 기획자 (5년 이상)","경력 5년↑"
76,ICT,(주)휴먼티에스에스,"~06.04 (수)",고졸↑,"정규직 외","네트워크·서버·보안, 경비·보안·경호, 일반사무·사무지원","경기 용인시 기흥구 외","[삼성그룹 보안] 휴먼TSS 6월 첨단보안직 신입사원 채용",신입
77,ICT,"(주) 이아이비컨설팅",상시,대졸↑,"계약직 외",ERP·시스템분석·설계,서울,"PI/ISP Consultant 모집(전 부문)","경력 5년↑"
78,ICT,(주)에스엘알렌트,"~05.31 (토)",학력무관,정규직,"웹디자인, 광고·CG·시각디자인, 홍보·PR·전시·컨벤션","서울 마포구","에스엘알렌트 웹디자이너 정직원 채용","경력 2년↑"
79,ICT,"사회복지법인 세이브더칠드런코리아","~05.28 (수)",학력무관,계약직,"통신·모바일, 가정서비스, 일반사무·사무지원","서울 마포구","후원서비스부문 후원경험팀 담당자 모집",경력무관
80,ICT,(주)오픈갤러리,"~05.31 (토)",학력무관,계약직,"웹기획·웹마케팅·PM, 광고·CG·시각디자인","서울 성동구","[오픈갤러리] 디자인팀 인턴 모집 (서울미래청년일자리)",신입
81,ICT,(주)더블유게임즈,채용시,학력무관,정규직,"빅데이터·AI(인공지능), ERP·시스템분석·설계","서울 강남구","데이터 분석가 (경력)","경력 1년↑"
82,ICT,(주)굿솔루션,채용시,초대졸↑,정규직,"컨텐츠·사이트운영, 영업기획, 영업관리·영업지원","경기 안양시","화학제품 외 영업관리",경력무관
83,ICT,농협정보시스템,"~05.26 (월)",학력무관,정규직,"전산·IT기술지원, IT·문화·직업강사, 네트워크·서버·보안","서울 서초구 외","(주)농협정보시스템에서 정규직(신입) 직원을 모집합니다.",신입
84,ICT,㈜정도유아이티,"~06.21 (토)",초대졸↑,"정규직 외","데이터베이스·DBA, 토목·조경·도시·측량","서울 강남구","(주)정도유아이티 GIS 사업본부 (DB 구축) 신입 또는 경력",경력무관
85,ICT,에스디바이오센서(주),"~05.25 (일)",대졸↑,정규직,"통신·모바일, 응용프로그래머, 일반사무·사무지원","경기 수원시","[5월/경력/수원] 모바일App(IOS) 개발자 채용","경력 1년↑"
86,ICT,"네이버 (주)","~05.26 (월)",학력무관,인턴,"빅데이터·AI(인공지능), 응용프로그래머, ERP·시스템분석·설계","경기 성남시","[NAVER] AI 검색 개발 체험형 인턴",신입
87,ICT,(주)스포츠조선,채용시,대졸,"정규직 외",웹기획·웹마케팅·PM,"서울 양천구","스포츠조선 디지털 마케팅 담당자 채용",경력무관
88,ICT,씨제이올리브네트웍스(주),"~05.31 (토)",대졸↑,정규직,네트워크·서버·보안,"서울 용산구 외","[CJ OliveNetworks/경력] 보안솔루션 운영 및 관리","경력 5~10년"
89,ICT,(주)데브캣,채용시,학력무관,정규직,게임(Game),"서울 강남구","[마비노기 모바일] 게임 프로그래머",경력무관
90,ICT,"네이버제트 주식회사","~05.26 (월)",학력무관,인턴,"컨텐츠·사이트운영, 경영·기획·전략, 통신·모바일","경기 성남시","[NAVER Z] 6월 전분야 체험형 인턴",신입
91,ICT,"(주) 아이오티스페이스","~05.25 (일)",초대졸↑,정규직,"웹기획·웹마케팅·PM, 홍보·PR·전시·컨벤션","서울 마포구 외","[영등포] 콘텐츠/온라인 마케터 사원 모집 (경력)",경력
92,ICT,아시아나IDT(주),"~05.28 (수)",학력무관,정규직,네트워크·서버·보안,"서울 강서구","[신입/경력] 네트워크 엔지니어",경력무관
93,ICT,(주)엘지유플러스,"~05.26 (월)",학력무관,계약직,네트워크·서버·보안,"서울 강서구","[정보보안센터] 정보 유출 리스크 관리 계약직 채용","경력 1년↑"
94,ICT,한진정보통신(주),"~06.05 (목)",대졸↑,계약직,"소프트웨어·하드웨어, 전산·IT기술지원","서울 강서구","[SW개발] 경력직 개발자 모집 - 대한항공 업무","경력 3~7년"
95,ICT,샘표식품,"~06.08 (일)",학력무관,"정규직 외","전산·IT기술지원, 투자·분석·증권·외환, 네트워크·서버·보안","서울 중구","[IT인프라지원] 네트워크 및 전산자산 운영(정규직 or 계약직)","경력 3년↑"
96,ICT,(주)스푼랩스,채용시,대졸↑,정규직,"멀티미디어(동영상·음향), 방송제작·연출·촬영·기자, 컨텐츠·사이트운영","서울 강남구","[Vigloo] 자체제작 숏폼 드라마 편집자 (4-7년)","경력 4~7년"
97,ICT,(주)메카넷,"~05.29 (목)",학력무관,정규직,전산·IT기술지원,"서울 금천구","네트워크 통합 유지보수 정직원 채용","경력 1년↑"
98,ICT,(재)과학기술보안관리단,"~05.26 (월)",학력무관,정규직,"네트워크·서버·보안, 건설현장, 경비·보안·경호","대전 서구","(재)과학기술보안관리단 25-2차 직원 공개채용(현장직)",경력무관
99,ICT,"한화엔진 주식회사","~05.25 (일)",고졸↑,인턴,"전산·IT기술지원, 건설현장, 전자·반도체","경남 창원시","[한화엔진] 2025년 2분기 현장 전문직(인턴십) 채용",신입
100,ICT,국토교통과학기술진흥원,"~05.29 (목)",학력무관,인턴,"전산·IT기술지원, 영업관리·영업지원, 일반사무·사무지원","경기 안양시","(2025년 제2차 인재채용 공고) 체험형 청년인턴",경력무관
101,ICT,"인천대학교 산학협력단","~06.15 (일)",초대졸↑,교육생(연수생),"웹기획·웹마케팅·PM, 판매, 일반·법인영업, 섬유·화학, 품질관리,","인천 연수구 외","[전액국비지원]2025년 화장품 제조 및 품질관리 양성과정 취업교육생 모집",경력무관
102,ICT,주식회사오로지스튜디오,"~07.18 (금)",학력무관,정규직,"멀티미디어(동영상·음향), 방송제작·연출·촬영·기자, 광고·CG·시각디자인","광주 북구","오로지 대규모 채용 (팀장PD / 촬영팀 / 편집팀 / 기획팀)",신입/경력(1~10년)
103,ICT,코웨이(주),"~06.04 (수)",학력무관,계약직,"ERP·시스템분석·설계, 품질관리, 영업관리·영업지원","서울 구로구","[코웨이] 2025년 5월 시험분석 업무지원 계약직 채용 공고 (장애인 채용)","경력 1년↑"
104,ICT,"주식회사 백선통신","~05.30 (금)",초대졸↑,정규직,"데이터베이스·DBA, 소프트웨어·하드웨어, 전산·IT기술지원","대구 달성군","MySQL, DBA 외 경력 채용(중장년 우대)","경력 1~5년"
105,ICT,(주)디이엑스인포,"~06.05 (목)",학력무관,정규직,데이터베이스·DBA,"서울 서초구","오라클 데이타베이스 운영 (초급 DBA)","경력 1~6년"
106,ICT,(주)엘지씨엔에스,"~05.31 (토)",학력무관,정규직,"웹기획·웹마케팅·PM, 경영·기획·전략, ERP·시스템분석·설계","서울 강서구","[LG CNS] 디지털 트윈 사업 기획 및 개발 분야 모집 (경력)",경력
107,ICT,(주)크래프톤,채용시,학력무관,인턴,"ERP·시스템분석·설계, 경영·기획·전략, 빅데이터·AI(인공지능)","서울 강남구","[Deep Learning Div.] Strategy & Operations Intern (2년 이하)",신입/경력(2년↓)
108,ICT,현대오토에버(주),"~05.28 (수)",학력무관,정규직,"ERP·시스템분석·설계, 웹프로그래머","서울 강남구","[EnIT] Backend Developer - 웹 시스템 개발/운영 (연구소)","경력 5년↑"
109,ICT,현대오토에버(주),"~05.28 (수)",학력무관,정규직,"ERP·시스템분석·설계, 웹프로그래머, 전산·IT기술지원","서울 종로구","[EnIT] Backend Developer - 업무시스템 개발/운영","경력 3년↑"
110,ICT,(주)신세계아이앤씨,"~05.25 (일)",학력무관,정규직,"응용프로그래머, 웹프로그래머, 일반사무·사무지원","서울 강남구","[25년 2분기] 개발/운영(JAVA) 부문 인재모집","경력 3년↑"
111,ICT,(주)신한DS,"~05.27 (화)",대졸↑,정규직,"통신·모바일, 네트워크·서버·보안, 경영·기획·전략","서울 중구 외","2025년 신한DS 신입사원 모집",신입
112,ICT,"SK(주) C&C","~06.17 (화)",대졸↑,정규직,"빅데이터·AI(인공지능), 전자·반도체, 생산·조립·가공·포장·검품",전국,"SK AX 신입사원 채용",신입
113,ICT,씨제이올리브네트웍스(주),"~06.15 (일)",대졸↑,정규직,"통신·모바일, 웹기획·웹마케팅·PM","서울 용산구","[경력] 모바일상품권 서비스 기획","경력 5년↑"
114,ICT,유한킴벌리(주),"~05.28 (수)",대졸↑,정규직,"데이터베이스·DBA, 마케팅, 빅데이터·AI(인공지능)","서울 송파구","2025년 유한킴벌리 경력직 수시 채용","경력 2년↑"
115,ICT,SK매직(주),"~05.25 (일)",대졸↑,정규직,"네트워크·서버·보안, 운전·운항","경기 화성시","25년 5월 관제센터 운영 경력 인재 영입","경력 5년↑"
116,ICT,(주)경신홀딩스,"~05.24 (토)",대졸↑,정규직,"ERP·시스템분석·설계, 인사·채용·인재개발(HRM·HRD), 소프트웨어·하드웨어","인천 연수구 외","경신홀딩스 2025년 부문별 신입/경력채용",신입/경력(3년↑)
117,ICT,라인플러스,채용시,학력무관,계약직,"전산·IT기술지원, 일반사무·사무지원, 영업관리·영업지원","경기 성남시","LINE Wallet - Recommend Product Associate (운영지원) (신입)",신입
118,ICT,"시큐코리아 주식회사",채용시,학력무관,정규직,"전산·IT기술지원, 웹기획·웹마케팅·PM, ERP·시스템분석·설계","서울 송파구","IT 기획 및 사업관리 담당자 모집(경력)",경력
119,ICT,"주식회사 에프원","~06.22 (일)",학력무관,프리랜서,"통신·모바일, 아웃바운드 텔레마케터, 고객상담·관리·수퍼바이저",충남,"인터넷 영업 경력자 채용",경력무관
120,ICT,베이글코드,"~05.30 (금)",학력무관,정규직,"ERP·시스템분석·설계, 빅데이터·AI(인공지능)","서울 강남구","[CVS] 데이터 분석가(Business Analyst)",경력무관
121,ICT,SK매직(주),"~05.25 (일)",대졸↑,정규직,"네트워크·서버·보안, ERP·시스템분석·설계, 시스템프로그래머","서울 금천구","25년 5월 IoT 제품 기술지원 파트리더 경력 인재 영입","경력 5년↑"
122,ICT,(주)엘지유플러스,"~05.26 (월)",대졸↑,정규직,네트워크·서버·보안,"서울 강서구","[정보보안센터] IAM 보안 엔지니어 경력채용","경력 3년↑"
123,ICT,"주식회사 에프원","~06.22 (일)",학력무관,프리랜서,"통신·모바일, 판매",충남,"전국 보험영업,신차/중고차딜러등 영업인 채용",경력무관
124,ICT,"주식회사 에프원","~07.22 (화)",학력무관,프리랜서,"통신·모바일, 판매","제주 제주시","제주 엘지유플러스 에프원대리점 세일즈직군 채용",경력무관
125,ICT,(주)혜성테크윈,"~06.22 (일)",초대졸↑,정규직,"통신·모바일, 연구원·연구개발, 전자·반도체","경기 성남시","통신장비 연구개발(H/W 분석 및 설계)",경력
126,ICT,올레시피,"~05.30 (금)",학력무관,정규직,"웹프로그래머, 통신·모바일, 응용프로그래머","부산 강서구","웹개발, 스마트폰 어플리케이션(App) 외 신입/경력 채용",경력무관
127,ICT,인크루트,채용시,학력무관,정규직,"웹디자인, HTML·퍼블리싱·UI개발, 광고·CG·시각디자인","서울 중구","인크루트 디자인팀 컨텐츠 디자이너 채용",경력
128,ICT,"시큐코리아 주식회사",채용시,학력무관,정규직,"네트워크·서버·보안, 데이터베이스·DBA","서울 마포구","공공기관 상주 네트워크/보안 엔지니어 모집(경력, 서울 마포)","경력 3년↑"
129,ICT,"시큐코리아 주식회사",채용시,학력무관,정규직,"네트워크·서버·보안, 전산·IT기술지원","서울 중구","공공기관 상주 네트워크/보안 엔지니어 및 OA운영 엔지니어 모집(경력, 서울 중구)","경력 3년↑"
